CVE_ENT,CVE_MUN,CVE_AGEB,CVE_LOC,NOMLOC,NOMGEO,CVE_ENT_1,CVE_MUN_1
07,089,0297,1018,Dorados de Villa,Mazatán,07,054
07,055,0015,0005,Los Hules,Tuxtla Chico,07,102
07,103,0014,0215,Villa Hidalgo,Tapachula,07,089
07,057,0062,0575,La Ceiba,Tuzantán,07,103
20,453,0018,0011,Barra de la Cruz,San Pedro Huamelula,20,307
07,097,0212,1527,"Isla, Mar y Tierra",Pijijiapan,07,069
20,453,0018,0012,Zimatán,San Pedro Huamelula,20,307
20,324,0190,0238,Unión de Guerrero,San Mateo Piñas,20,253
20,324,0190,0237,San Pedro Cafetitlán,San Mateo Piñas,20,253
20,526,004A,0101,San Isidro Campechero,Villa de Tututepec,20,334
20,324,0010,0235,Los Naranjos Esquipulas,San Pedro el Alto,20,306
20,291,0037,0007,Tamarindo,San Sebastián Coatlán,20,344
20,266,0015,0121,Santa Catarina Jamixtepec,San Carlos Yautepec,20,125
20,211,0021,0018,Cerro de Olla,San Miguel del Puerto,20,266
20,143,0049,0063,Cachimbo,San Francisco del Mar,20,141
20,154,0019,0005,El Extebe,San Sebastián Río Hondo,20,347
07,083,0081,0197,Tierra y Libertad,Tzimol,07,104
07,083,0081,0210,San Pedro Pedernal,Tzimol,07,104
20,154,0019,0013,La Paz Xanaguía,San Sebastián Río Hondo,20,347
20,364,0020,0109,San Lucas el Vidrio,San Juan Lachao,20,202
20,059,0081,0115,Sitio de Lachidoblas,San Sebastián Río Hondo,20,347
20,154,0019,0003,La Reforma,San Sebastián Río Hondo,20,347
20,213,0030,0035,Atrás del Peñasco,San Miguel Panixtlahuaca,20,272
20,059,0081,0114,Santa María el Palmar,San Ildefonso Amatlán,20,154
07,041,0128,0572,Santa Martha,La Trinitaria,07,099
20,141,0114,0106,Puerto Grande,San Francisco Ixhuatán,20,143
20,141,0114,0099,Santa Rita,San Francisco Ixhuatán,20,143
20,141,0044,0100,El Vergel del Maíz,San Francisco Ixhuatán,20,143
20,141,0044,0085,Colonia Villanueva,San Francisco Ixhuatán,20,143
20,188,0017,0020,La Soledad,San Agustín Chayuco,20,082
20,028,0066,0042,La Escalera,Coatecas Altas,20,015
20,043,0202,0152,Colonia San Isidro,Santa María Xadani,20,441
07,052,023A,0335,San Mateo Zapotal,Maravilla Tenejapa,07,115
20,043,0185,0153,Colonia San Vicente,Santa María Xadani,20,441
12,023,0262,0220,Rancho Mario Navarrete,Azoyú,12,013
20,061,0018,0002,Santa María Velató,Coatecas Altas,20,015
07,052,0329,0464,San Rafael,La Independencia,07,041
07,052,0333,0869,La Esmeralda de los Cipreses,La Independencia,07,041
07,052,030A,0312,Santa Margarita Agua Azul,Maravilla Tenejapa,07,115
07,041,0062,0566,El Porvenir,Las Margaritas,07,052
12,025,0197,0031,Estero del Marquez (Cachumbo),Florencio Villarreal,12,030
12,018,0065,0068,La Loma del Chivo,Cuautepec,12,025
12,025,0182,0039,La Ceiba,Copala,12,018
20,420,0017,0009,Rincón Hacienda Vieja,San Vicente Lachixío,20,535
12,036,0082,0031,El Mango,Azoyú,12,013
07,075,0056,0036,San Mateo,Comitán de Domínguez,07,019
20,420,0017,0010,Loma Larga,San Vicente Lachixío,20,535
12,025,0197,0051,La Soledad,Florencio Villarreal,12,030
12,036,0082,0008,La Reforma,Azoyú,12,013
12,077,0070,0021,Las Palmas,Azoyú,12,013
07,059,0917,2054,Emiliano Zapata,Las Margaritas,07,052
12,001,2045,0493,La Arena,San Marcos,12,053
12,001,2045,0242,Bella Vista Papagayo,San Marcos,12,053
12,062,028A,0064,El Aguacate (Camino a Xochistlahuaca),Ometepec,12,046
12,001,1992,0694,Rancho el Tamarindillo,San Marcos,12,053
12,062,028A,0128,El Mesón,Ometepec,12,046
12,071,026A,0125,Rancho las Tortolitas,Ometepec,12,046
20,088,0045,0018,El Limón,Santa María Zacatepec,20,447
20,200,0032,0013,El Zapote,Nejapa de Madero,20,064
20,570,0226,0096,San José Guelatová de Díaz,Santa Gertrudis,20,387
20,570,0226,0095,La Santa Cruz,San Pablo Huixtepec,20,295
20,073,0080,0116,El Carrizal de Galeana,San Andrés Cabecera Nueva,20,088
07,052,0136,0902,Victórico R. Grajales,Altamirano,07,004
20,273,001A,0014,El Tecolote,San Antonio Huitepec,20,108
12,062,0256,0100,Piedra Blanca,Metlatónoc,12,043
20,123,0027,0003,San Jerónimo Tititlán,Zimatlán de Álvarez,20,570
20,013,0025,0004,La Tablita de la Yocuela,Zimatlán de Álvarez,20,570
12,036,0063,0024,Chimalapa,Metlatónoc,12,043
12,062,0256,0080,Barrio de Hoja Dura (Arroyo Chimalapa),Metlatónoc,12,043
20,037,0027,0044,Santa Rosa,Putla Villa de Guerrero,20,073
12,062,0256,0081,Arroyo Faisán,Metlatónoc,12,043
20,515,0328,0114,Santa María Nativitas Coatlán,Santiago Lachiguiri,20,470
20,517,0017,0010,Loma Linda,San Pedro Quiatoni,20,325
20,265,0022,0069,Los Ocotones,Santa María Chimalapa,20,407
12,021,0380,0255,Santa Cruz de Mitla,Benito Juárez,12,014
20,392,0010,0043,El Paraíso Nopalera,Santiago Nuyoó,20,481
12,039,0205,0045,San Juan del Reparo Sur (San Juan del Reparo),San Marcos,12,053
20,397,0089,0114,San José (Llano de Plaza),San Pablo Tijaltepec,20,297
12,039,0205,0044,San Juan del Reparo Norte (San Juan del Reparo),San Marcos,12,053
20,570,0086,0020,La Cumbre Clavellinas,San Pablo Cuatro Venados,20,292
20,026,0023,0026,Linda Vista,San Pablo Tijaltepec,20,297
20,026,0023,0027,Unión y Progreso,San Pablo Tijaltepec,20,297
20,397,0089,0117,El Mogote,San Pablo Tijaltepec,20,297
20,125,0017,0099,Río Canela,San Lucas Camotlán,20,231
20,397,0089,0136,San José Patriarca,San Pablo Tijaltepec,20,297
20,298,0038,0008,Don Pedrillo,Tlacolula de Matamoros,20,551
20,125,0017,0094,El Aguacate,San Lucas Camotlán,20,231
20,388,0018,0019,La Herradura,San Pablo Cuatro Venados,20,292
20,397,0089,0122,Yutendoo,San Pablo Tijaltepec,20,297
20,397,0089,0121,Yucutu,San Pablo Tijaltepec,20,297
12,039,0205,0056,Chacalapa de Bravos,San Marcos,12,053
20,426,003A,0016,El Manzanito,San Miguel Peras,20,273
20,397,0089,0109,San Pedro Yosotatu,Santiago Nuyoó,20,481
12,056,0259,0052,El Zanate,Ayutla de los Libres,12,012
20,494,0025,0066,Santiago Huaxolotipac,San Antonio Huitepec,20,108
20,397,0089,0120,Yucahua,San Pablo Tijaltepec,20,297
07,023,0030,0112,Rasién,San Cristóbal de las Casas,07,078
20,397,0089,0108,San Felipe Tindaco,San Pablo Tijaltepec,20,297
12,043,0335,0192,Doyo Kutu'ndii,Iliatenco,12,081
12,039,0205,0058,Las Partidas,San Marcos,12,053
20,397,0089,0116,Loma Snuviji,San Pablo Tijaltepec,20,297
12,012,017A,0166,El Parotillo,Acatepec,12,076
12,012,017A,0163,Ciénega del Sauce,Acatepec,12,076
20,397,0089,0115,Loma Aplastado,San Pablo Tijaltepec,20,297
20,403,0016,0011,El Higo Montes [Paraje],San Agustín de las Juntas,20,083
20,397,0089,0118,Nuñuma,San Pablo Tijaltepec,20,297
12,012,017A,0184,La Palma Nuevo Paraíso,Acatepec,12,076
12,012,017A,0165,Nueva Jerusalén,Acatepec,12,076
20,275,0029,0025,Margarita Huitepec,San Lucas Camotlán,20,231
20,517,0017,0009,Loma Larga,San Pedro y San Pablo Ayutla,20,337
20,207,0207,0089,Los Valles,Santa María Guienagati,20,412
12,012,017A,0120,Río Velero,Acatepec,12,076
20,073,0057,0124,Llano de Aguacate,Santiago Juxtlahuaca,20,469
20,073,0057,0120,San Miguel Copala,Santiago Juxtlahuaca,20,469
12,041,0241,0113,Cerro el Timbre (Portezuelo la Ciénega),Tlacoapa,12,063
12,011,0312,0283,El Ojo de Agua,Coyuca de Benítez,12,021
12,014,0085,0098,Rancho Viejo,Técpan de Galeana,12,057
20,073,0057,0123,Joya del Mamey Copala,Santiago Juxtlahuaca,20,469
20,397,0055,0105,Mexicalcingo de los Granados,Santo Tomás Ocotepec,20,532
20,553,0028,0024,Santa Catalina de Sena,Santo Domingo Tomaltepec,20,519
20,073,0023,0119,San Jorge Río Frijol,Santiago Juxtlahuaca,20,469
12,012,017A,0092,Plan de Gatica,Acatepec,12,076
12,012,017A,0153,Tlacuache,Acatepec,12,076
07,023,0026,0012,Callejón,Larráinzar,07,049
12,012,017A,0151,Los Amates,Acatepec,12,076
12,011,0295,0236,La Sidra,Benito Juárez,12,014
12,021,0323,0244,La Carbonera,Acapulco de Juárez,12,001
07,023,0030,0113,Tichen,Chenalhó,07,026
07,023,0030,0100,Jomtealhó,Mitontic,07,056
07,023,0030,0127,Bashequen,Chenalhó,07,026
12,043,0316,0246,Yoso Ndavi,Malinaltepec,12,041
12,004,013A,0041,San Miguelito,Metlatónoc,12,043
20,492,0035,0024,Guadalupe Llano de las Avispas,Magdalena Jaltepec,20,046
12,076,0020,0063,Flor de Pascua,Zapotitlán Tablas,12,072
12,076,0020,0103,Laguna Potrero,Zapotitlán Tablas,12,072
12,076,0020,0059,Barranca Lima,Zapotitlán Tablas,12,072
12,076,0020,0089,Barranca Xoco,Zapotitlán Tablas,12,072
12,076,0020,0070,Puerto Buenavista,Zapotitlán Tablas,12,072
12,029,0904,0030,Carrizal de la Vía,Juan R. Escudero,12,039
12,076,0020,0110,San Marcos Yerba Santa,Zapotitlán Tablas,12,072
12,052,0387,0095,El Manguito,Atlamajalcingo del Monte,12,009
12,052,0387,0107,Cruz Alta,Atlamajalcingo del Monte,12,009
12,043,0316,0131,Río San Martín,Atlamajalcingo del Monte,12,009
12,076,0020,0113,Yerba Santa,Zapotitlán Tablas,12,072
12,076,0020,0106,Llano Maizal,Zapotitlán Tablas,12,072
12,076,0020,0111,Santa Rosa,Zapotitlán Tablas,12,072
12,011,0280,0171,Colonia Piedra Parada,Técpan de Galeana,12,057
12,076,0020,0091,Cerro el Maguey,Zapotitlán Tablas,12,072
12,076,0020,0107,Ojo de Agua,Zapotitlán Tablas,12,072
20,110,0014,0006,Yosocahua,Heroica Ciudad de Tlaxiaco,20,397
07,022,0029,0032,Tzomoltón,Chenalhó,07,026
12,076,0020,0065,Lázaro Cárdenas,Zapotitlán Tablas,12,072
12,029,0891,0408,Las Enramadas (Rancho las Enramadas),Mochitlán,12,044
12,076,0020,0069,El Mirador,Zapotitlán Tablas,12,072
12,052,0387,0156,El Mirasol,Atlamajalcingo del Monte,12,009
12,052,0387,0134,Altepec,Atlamajalcingo del Monte,12,009
12,052,0387,0108,Llano de Maguey,Atlamajalcingo del Monte,12,009
07,112,0032,0034,San Juan Bawitz,Chilón,07,031
12,076,0020,0123,Huixtlazala,Zapotitlán Tablas,12,072
12,076,0020,0131,Río del Sauce,Zapotitlán Tablas,12,072
12,052,0387,0096,Mixtecapa,Atlamajalcingo del Monte,12,009
12,029,0849,0421,Zeutla,Coyuca de Benítez,12,021
12,052,0387,0117,Pie de Tierra Blanca (Tierra Blanca),Atlamajalcingo del Monte,12,009
12,052,0372,0115,Tierra Colorada,Atlamajalcingo del Monte,12,009
12,043,0301,0125,Lagunas,Alcozauca de Guerrero,12,004
12,052,0387,0106,Barrio de Guadalupe,Atlamajalcingo del Monte,12,009
