"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6145325","12001237212000031011000000U5","CASTILLOS TRINIDAD Y ASOCIADOS","CASTILLOS TRINIDAD Y ASOCIADOS SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","51 a 100 personas",,"LA VENTA","CALLE","REGINA","ANDADOR","1","CALLE","CALLE DEL VALLE","1",,,,"0",,"COLONIA","LA VENTA",,,,"39713","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","5340","026",,,,"Fijo","16.90945466","-99.81280968","2010-07"
"6712769","12001236221000451000000000U7","CEDIS GUERRERO","KA INMOBILIARIA ","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","0 a 5 personas","CARRETERA","NACIONAL ACAPULCO-PINOTEPA","CALLE","POZO NUMERO 12","CALLE","CALLE DEL POZO 12",,"SIN REFERENCIA",,"SN",,,,,"PUEBLO","CAYACO",,,,"39905","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","1583","039","7441164035","HBAUTISTA@KAINSA.COM","WWW.KAINSA.COM","Fijo","16.85249089","-99.80088193","2016-01"
"9958546","12001236221000593000000000U6","CONSTRUCCIONES DE LA COSTA M",,"236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas","BOULEVARD","DE LAS NACIONES","CALLE","NINGUNO","BOULEVARD","DE LAS NACIONES","CIRCUITO","JARDIN PRINCESA","0","SN",,,,,"COLONIA","AMPLIACION COLOSIO",,,,"39890","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","4997","044","7444597686",,,"Fijo","16.79069088","-99.80144749","2024-11"
"9299327","12001236221000561000000000U3","CONSTRUCTORA DE INFRAESTRUCTURAS DE OBRAS Y PROYECTOS","CONSTTRUCTORAS DE INFRAESTRUCTURAS DE PROYECTOS SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","0 a 5 personas","AVENIDA","COSTERA MIGUEL ALEMAN","CALLE","COSTERA VIEJA","CALLE","PIEDRA PICUDA","CALLE","PIEDRA PICUDA","116",,"CENTRO Y PLAZA COMERCIAL","PLANTA BAJA",,,"FRACCIONAMIENTO","CONDESA","CENTRO Y PLAZA COMERCIAL","LA PICUDA","PB","39690","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","0405","020","74435557722",,,"Fijo","16.85679772","-99.86617174","2020-11"
"6145233","12001236221000183001000000U6","CONSTRUCTORA E INMOBILIARIA INCOA","CONSTRUCTORA E INMOBILIARIA INCOA SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","6 a 10 personas","AVENIDA","MOGOTE","CERRADA","CHOLOLO","AVENIDA","EL MOGOTE PONIENTE","ANDADOR","CUAUHTUMOC","55",,,,,"SN","FRACCION","HORNOS INSURGENTES",,,,"39350","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","2702","056",,,,"Fijo","16.86835232","-99.89074716","2010-07"
"6145294","12001236221000293000000000U3","CONSTRUCTORA LOMA BONITA","CONSTRUCTORA LOMA BONITA ","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas","CALLE","J. R. CABRILLO","CALLE","Pedro Vasco Nuñez de Balboa","CALLE","Pedro Andres de Urdaneta","CALLE","Gabriel Aviles",,"SN",,,"207",,,"HORNOS",,,,,"12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","283A","018",,,,"Fijo","16.85839229","-99.89269193","2010-07"
"6145324","12001236111000191001000000U2","CONSTRUCTORA PIE DE LA CUESTA","CONSTRUCTORA PIE DE LA CUESTA SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","6 a 10 personas","CALLE","5 DE MAYO","ANDADOR","GALEANA","CALLE","5 DE MAYO","AVENIDA","CUAUHTUMOC","8",,,,"109",,"COLONIA","CENTRO",,,,"39300","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","2825","013",,,,"Fijo","16.85069222","-99.90649533","2010-07"
"6145319","12001236111000253011000000U0","CONSTRUCTORA REAL DIAMANTE DE ACAPCA","CONSTRUCTORA REAL DIAMANTE DE ACAPULCO SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","51 a 100 personas","CALLE","SANTA CRUZ","CALLE","10","CALLE","9","AVENIDA","EMILIANO ZAPATA","327",,,,"104",,"COLONIA","CUAUHTEMOC",,,,"39550","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","2670","019",,,,"Fijo","16.86407612","-99.91308224","2010-07"
"9394994","12001236221000581000057011S1","CONSTRUCTORA Y DESARROLLADORA DE INMUEBLES","CONSTRUCTORA Y DESARROLLADORA DE INMUEBLES SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","0 a 5 personas","CALLE","COSTERA DE LAS PALMAS","PRIVADA","Ninguno","CALLE","Costera de las Palmas","OTRO(ESPECIFIQUE)","Manzana o Edificación Contigua","1121",,,,,,"COLONIA","PLAYA DIAMATE",,,,"39897","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","1367","001",,,,"Fijo","16.76871222","-99.77951212","2023-11"
"6145304","12001237312000193011000000U1","CONSTRUCTORA Y EDIFICADORA ARNU DEL SUR","CONSTRUCTORA Y EDIFICADORA ARNU DEL SUR SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","51 a 100 personas","AVENIDA","HORACIO NELSON","CALLE","ALMIRANTE PEARY","CALLE","TENIENTE JOSE AZUETA","CALLE","CAPITAN JAIMES COOK","19","A",,,,,"COLONIA","COSTA AZUL",,,,"39850","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","0477","034",,"CONSTRUCTORA_NP@HOTMAIL.COM",,"Fijo","16.85057767","-99.84835534","2010-07"
"1360330","12001238320000023000000000U2","CORPORACION DE PLANEACION Y DESARROLLO","CORPORACION DE PLANEACION Y DESARROLLO SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","0 a 5 personas","CALLE","MARIA DE LA O","CALLE","NIÑO ARTILLERO","CALLE","EMILIANO ZAPATA","CALLE","FRANCISCO GONZALEZ BOCANEGRA","5","M72",,,,,"COLONIA","LA LIBERTAD",,,,"39780","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","251A","006",,"HENA_PLADES@HOTMAIL.COM",,"Fijo","16.88021016","-99.83626923","2010-07"
"6164767","12001237999000122011000000U4","EDEMART EXPERTOS EN DISEÑOS ESTRUCTURALES Y ARQUITECTONICOS","EDEMART EXPERTOS EN DISEÑOS ESTRUCTURALES Y ARQUITECTONICOS SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas","CALLE","DEL MOGOTE","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","178",,,,,,"COLONIA","13 DE JULIO",,,,"39350","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","2312","010","7445165812",,,"Fijo","16.86899447","-99.89201592","2011-03"
"8575157","12001236221000501000000000U9","F+M CONSTRUCTORA INMOBILIARIA","FM CONSTRUCTORA E INMOBILIARIA SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","0 a 5 personas","AVENIDA","CUAUHTEMOC","CALLE","NINGUNO","CALLE","MARACAS","CALLE","NERÓN","239",,,,,,"COLONIA","MARROQUIN",,,,"39640","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","5035","026",,"FMCONSTRUCTORA@LIVE.COM.MX","SITES.GOOGLE.COM/VIEW/F-MCONSTRUCTORA/F-M","Fijo","16.86467996","-99.88049767","2019-11"
"6145260","12001237212000153000000000U7","FM CONSTRUCTORA INMOBILIARIA","FM CONSTRUCTORA INMOBILIARIA SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","6 a 10 personas","AVENIDA","CUAUHTEMOC","CALLE","MARACAS","CALLE","NINGUNO","PASAJE","NINGUNO","229",,"CENTRO Y PLAZA COMERCIAL","PISO 1","111",,"FRACCIONAMIENTO","MAGALLANES",,,,,"12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","5035","026",,"FMCONSTRUCTORA@LIVE.COM.MX","HTTPS://SITES.GOOGLE.COM/VIEW/FMCONSTRUCTORA/FM","Fijo","16.86474396","-99.88035047","2010-07"
"6145286","12001236111000383010000000U5","G ARAFA CONTRUCTOR","G ARAFA CONTRUCTOR SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas","AVENIDA","COSTERA MIGUEL ALEMAN","CALLE","COSTERA VIEJA","CALLE","PIEDRA PICUDA","CALLE","PIEDRA PICUDA","116",,,,"186",,"FRACCIONAMIENTO","CONDESA","CENTRO Y PLAZA COMERCIAL","PLAZA CONDESA","186","39690","12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","0405","020","7441817011","G.ARAFACONSTRUCTOR@GMAIL.COM",,"Fijo","16.85682383","-99.86638418","2010-07"
"10899521","12001236221000601000000000U7","GRUPO ARQUELI","GRUPO ARQUELI SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","0 a 5 personas","CALLE","ROCA SOLA","AVENIDA","LOMAS DEL MAR","CERRADA","NINGUNO","AVENIDA","COSTERA MIGUEL ALEMAN","21",,,,,,"FRACCIONAMIENTO","CLUB DEPORTIVO",,,,,"12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","0405","009",,"GRUPOARQUEDI2601@HOTMAIL.COM","WWW.GRUPOAEQUELI.WIXSITE.COM","Fijo","16.85720235","-99.86297548","2024-11"
"6145322","12001236221000111000000000U7","GRUPO CONSTRUCTOR DICMA","GRUPO CONSTRUCTOR DICMA SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas",,"MIRADOR","CALLE","Gustavo Diaz Ordaz","CALLE","Mirador","CALLE","Nicolas Bravo","42","0",,,,,,"MORELOS",,,,,"12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","2261","004",,,,"Fijo","16.87759518","-99.90470268","2010-07"
"1391708","12001236221000411000000000U1","GRUPO INOVADOR CONSTRUCTOR DE GUEERRO","GRUPO INOVADOR CONSTRUCTOR DE GUERRERO SA","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","0 a 5 personas",,"COSTERA MIGUEL ALEMAN","CALLE","Israel","CALLE","Hernan Cortes","CALLE","Hernan Cortes","125","0",,,,"M-26",,"MAGALLANES","CENTRO Y PLAZA COMERCIAL","COSTERA 125","M-24",,"12","GUERRERO","001","Acapulco de Juárez","0001","Acapulco de Juárez","1297","012",,,,"Fijo","16.86129672","-99.87704727","2014-12"
